first_name,last_name,stock_id,trade_type,trader,trade_value,notes,notified_date,transaction_date
Tommy,Tuberville,CLF,Sale (Partial),Joint,"$1,001 - $15,000",Cleveland-Cliffs Inc. Common Stock Option Type: Put Strike price: $15.00  Expires: 01/19/2024,05-11-2023,04-28-2023
Tommy,Tuberville,CLF,Sale (Partial),Joint,"$1,001 - $15,000",Cleveland-Cliffs Inc. Common Stock Option Type: Call Strike price: $17.00  Expires: 06/21/2024,05-11-2023,04-28-2023
Tommy,Tuberville,CLF,Sale (Partial),Joint,"$1,001 - $15,000",Cleveland-Cliffs Inc. Common Stock Option Type: Call Strike price: $17.00  Expires: 01/19/2024,05-11-2023,04-28-2023
Tommy,Tuberville,CLF,Sale (Partial),Joint,"$1,001 - $15,000",Cleveland-Cliffs Inc. Common Stock Option Type: Call Strike price: $17.00  Expires: 06/21/2024,05-11-2023,04-28-2023
Tommy,Tuberville,CLF,Sale (Partial),Joint,"$1,001 - $15,000",Cleveland-Cliffs Inc. Common Stock Option Type: Call Strike price: $17.00  Expires: 06/21/2024,05-11-2023,04-28-2023
Tommy,Tuberville,F,Purchase,Joint,"$15,001 - $50,000",Ford Motor Company Common Stock,05-11-2023,04-28-2023
Tommy,Tuberville,F,Purchase,Joint,"$100,001 - $250,000",Ford Motor Company Common Stock,05-11-2023,04-27-2023
Tommy,Tuberville,F,Purchase,Joint,"$15,001 - $50,000",Ford Motor Company Common Stock,05-11-2023,04-26-2023
Tommy,Tuberville,ATVI,Sale (Full),Joint,"$100,001 - $250,000","Activision Blizzard, Inc - Common Stock",05-11-2023,04-26-2023
Tommy,Tuberville,CLF,Sale (Partial),Joint,"$1,001 - $15,000",Cleveland-Cliffs Inc. Common Stock Option Type: Call Strike price: $18.00  Expires: 01/19/2024,05-11-2023,04-24-2023
Tommy,Tuberville,CLF,Sale (Partial),Joint,"$1,001 - $15,000",Cleveland-Cliffs Inc. Common Stock Option Type: Put Strike price: $16.00  Expires: 01/19/2024,05-11-2023,04-24-2023
